timestamp,open,high,low,close,volume
1763904600,131.06,131.31,130.74,131.22,39696.374
1763905500,131.23,131.73,131.03,131.58,18462.237
1763906400,131.57,132.75,131.44,131.66,73078.323
1763907300,131.67,131.81,130.9,131.06,64241.106
1763908200,131.05,131.41,130.72,131.08,21867.722
1763909100,131.08,131.29,130.5,130.75,20239.141
1763910000,130.74,131.33,130.43,131.23,27927.205
1763910900,131.22,131.46,130.81,131.11,20467.02
1763911800,131.1,132.69,130.95,132.66,83582.642
1763912700,132.66,133.13,132.32,132.87,117972.776
1763913600,132.88,133.47,132.32,132.42,62954.766
1763914500,132.41,132.59,131.93,132.1,36102.807
1763915400,132.1,132.89,131.94,132.81,25983.198
1763916300,132.81,132.87,131.73,131.79,27462.773
1763917200,131.78,131.87,131.08,131.3,49349.538
1763918100,131.29,131.7,130.84,131.63,30491.046
1763919000,131.64,131.91,131.16,131.74,14342.132
1763919900,131.73,131.75,130.93,131.39,20334.272
1763920800,131.39,131.97,131.38,131.84,14702.907
1763921700,131.85,132.54,131.8,132.21,20987.779
1763922600,132.21,132.93,132.19,132.65,31078.256
1763923500,132.64,132.64,132.06,132.19,15207.879
1763924400,132.2,132.45,131.98,132.32,10179.575
1763925300,132.32,133.1,132.32,132.46,21152.314
1763926200,132.47,133.09,132.44,132.96,17272.298
1763927100,132.96,132.98,132.27,132.38,15683.775
1763928000,132.39,132.72,132.09,132.48,12989.16
1763928900,132.49,132.85,132.23,132.67,11446.496
1763929800,132.67,132.73,132.2,132.66,14953.822
1763930700,132.67,132.85,132.51,132.64,7625.811
1763931600,132.63,132.64,131.52,131.78,34080.746
1763932500,131.78,132.79,131.73,132.67,12013.99
1763933400,132.67,132.79,132.45,132.56,15603.985
1763934300,132.55,133.54,132.5,133.14,24548.858
1763935200,133.15,133.32,132.44,132.73,24610.586
1763936100,132.74,133.05,132.35,132.9,24758.708
1763937000,132.89,132.9,132.28,132.41,17769.862
1763937900,132.41,132.81,132.39,132.67,9565.459
1763938800,132.67,132.87,131.41,131.45,29798.368
1763939700,131.45,131.59,130.69,131.26,51132.145
1763940600,131.25,131.25,130.52,130.95,40177.338
1763941500,130.95,131.17,130.54,130.58,31379.31
1763942400,130.58,130.59,129.87,129.91,86846.7
1763943300,129.92,130.58,129.31,130.57,52860.81
1763944200,130.57,131.52,130.12,131.21,49257.903
1763945100,131.21,132.11,130.81,130.81,39653.702
1763946000,130.81,131.3,130.33,130.84,35506.983
1763946900,130.84,131.26,130.52,131.1,19072.211
1763947800,131.1,131.12,130.06,130.23,24284.604
1763948700,130.23,131.76,130.0,131.49,30260.185
1763949600,131.5,133.8,131.42,133.74,106263.491
1763950500,133.75,134.4,133.31,133.48,60487.769
1763951400,133.47,133.69,132.71,132.96,28893.265
1763952300,132.97,133.4,132.72,133.39,28034.002
1763953200,133.4,133.73,132.84,133.08,22502.114
1763954100,133.07,134.41,132.89,133.89,38730.559
1763955000,133.88,134.21,133.31,133.5,20333.087
1763955900,133.49,133.74,133.23,133.43,24230.06
1763956800,133.42,133.54,132.85,132.85,75844.245
1763957700,132.85,132.86,130.6,131.04,94167.315
1763958600,131.04,131.73,131.0,131.65,26129.813
1763959500,131.64,131.76,131.11,131.38,24505.22
1763960400,131.38,133.26,131.21,133.13,53810.07
1763961300,133.13,133.93,132.9,133.61,45560.954
1763962200,133.61,133.69,132.74,133.09,22452.673
1763963100,133.09,133.17,132.6,132.96,25320.473
1763964000,132.95,133.03,131.33,131.4,58525.644
1763964900,131.4,131.95,131.22,131.51,46076.223
1763965800,131.51,131.68,130.8,130.96,61776.864
1763966700,130.95,131.27,130.67,131.18,43708.906
1763967600,131.17,131.17,130.35,130.63,39065.382
1763968500,130.62,130.93,130.19,130.57,45233.487
1763969400,130.57,131.43,130.47,131.15,42743.72
1763970300,131.15,131.2,130.23,130.34,31508.488
1763971200,130.33,130.33,129.63,130.03,88953.692
1763972100,130.02,130.38,129.81,129.98,32299.776
1763973000,129.98,130.19,129.86,130.11,16791.433
1763973900,130.12,130.76,129.84,130.58,20714.316
1763974800,130.58,130.68,129.7,129.79,25345.874
1763975700,129.79,129.81,128.44,128.71,66159.172
1763976600,128.71,129.37,128.63,128.92,31733.13
1763977500,128.91,129.23,128.85,128.89,26005.95
1763978400,128.9,129.47,128.84,129.06,36748.903
1763979300,129.07,129.3,128.88,129.14,18303.809
1763980200,129.13,129.36,128.76,129.1,25020.588
1763981100,129.1,129.39,128.97,129.23,11551.499
1763982000,129.23,129.38,128.78,129.03,38043.15
1763982900,129.04,129.14,128.87,129.02,10085.099
1763983800,129.03,129.75,129.03,129.73,19914.664
1763984700,129.73,129.93,129.57,129.62,20489.079
1763985600,129.61,129.71,129.0,129.13,31937.088
1763986500,129.14,129.64,129.05,129.59,18546.803
1763987400,129.6,130.0,129.26,129.44,53032.902
1763988300,129.44,129.81,129.32,129.53,24016.166
1763989200,129.52,130.58,129.38,130.17,63201.805
1763990100,130.17,130.29,129.53,130.02,23362.761
1763991000,130.02,130.37,129.89,130.35,31216.118
1763991900,130.35,130.42,129.65,129.76,43342.353
1763992800,129.75,129.83,129.34,129.69,24461.007
1763993700,129.69,129.8,129.11,129.13,20864.203
1763994600,129.12,131.62,129.09,129.37,172475.262
1763995500,129.37,130.75,128.54,130.75,107641.732
1763996400,130.75,131.5,130.51,131.19,86981.1
1763997300,131.18,131.26,130.03,130.59,36350.714
1763998200,130.59,132.06,130.36,131.98,54060.813
1763999100,131.98,132.6,131.59,131.94,73963.494
1764000000,131.93,132.88,131.82,132.39,99687.096
1764000900,132.39,133.47,132.19,132.96,80338.899
1764001800,132.97,134.3,132.54,134.24,118885.496
1764002700,134.24,134.42,133.47,133.7,80049.092
1764003600,133.71,134.48,133.67,133.87,57286.983
1764004500,133.86,136.36,133.58,136.13,160793.235
1764005400,136.14,137.06,135.93,136.33,127929.337
1764006300,136.32,137.19,136.27,136.91,67138.442
1764007200,136.92,138.0,136.92,137.54,81748.199
1764008100,137.55,137.71,136.71,136.98,45397.346
1764009000,136.97,137.47,136.48,137.17,51311.674
1764009900,137.18,137.81,137.11,137.41,45714.404
1764010800,137.41,137.82,137.18,137.39,48413.971
1764011700,137.38,137.5,136.76,137.07,45101.201
1764012600,137.08,137.44,136.67,137.01,33745.654
1764013500,137.01,137.33,136.84,137.24,27680.087
1764014400,137.24,139.03,137.24,138.8,280557.457
1764015300,138.81,139.3,138.6,138.95,55566.973
1764016200,138.94,139.36,138.71,138.95,39669.497
